,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
13506,lsmdc1033_Sherlock_Holmes_A_Game_of_Shadows-85394,10958,"As soon as he is gone, an armchair over by the wall appears to spring to life. It","As soon as he is gone, an armchair over by the wall appears to spring to life.",It,gold,streams into an enormous jar of lava that he was placing.,'s someone wearing one of his camouflage outfits.,drives across the ground in front of the school reception.,"up again, the taller dancer goes naked and shifting the body of the flying fan.",1
18017,lsmdc3016_CHASING_MAVERICKS-6600,12258,He finds a single notation at the top of his latest essay: go deeper.. He,He finds a single notation at the top of his latest essay: go deeper..,He,gen,'s suitcases use the pictures as well as the cheese.,finds someone's sedan waiting.,"observes someone, before walking back to the dark room area.",passes him a note.,2
45083,anetv_Z8xxgFpK-NM,10087,Two people start dancing together on a stage. A man,Two people start dancing together on a stage.,A man,gen,is walking a dance dance.,is in front of a stage watching them.,is wrestling in frame.,and girl begin dancing together with the dancers.,3
62421,lsmdc1050_Harry_Potter_and_the_deathly_hallows_Disk_One-94099,15476,"She walks slowly away from someone, whose head is lowered. Someone","She walks slowly away from someone, whose head is lowered.",Someone,gold,sits on guard by a campfire in front of the tent.,turns to look her game.,lifts against a pane of glass and leans heavily toward them.,looks back into the sunshine.,0
47598,lsmdc1007_Spider-Man1-74750,2809,A cigarette by someone threw out of the window is thrown back. Someone,A cigarette by someone threw out of the window is thrown back.,Someone,gen,is conspicuously in the back wheel.,stops a young brother with another man.,takes a cover where the book is captured.,appears in the darkness and slips inside.,3
46637,anetv_oSoi5owiybU,1187,A city with a lot of multicolored lights is shown. men are running in street and the old man,A city with a lot of multicolored lights is shown.,men are running in street and the old man,gold,is in the middle.,stands next instructing children holding a large red scraper.,is raking the leaves.,is trying to make a high jump then rapid hard.,0
40488,lsmdc1062_Day_the_Earth_stood_still-100999,16505,He stands up and walks towards the mouth of the tunnel. He,He stands up and walks towards the mouth of the tunnel.,He,gen,brings the hem of his shirt and thrusts it at someone.,"runs down the stairs and starts down the stone steps, smiling.",turns back to face the room again.,pulls up his hood and aims.,3
36233,lsmdc0030_The_Hustler-64828,1004,Someone knocks on the door. Someone,Someone knocks on the door.,Someone,gold,goes to open it.,gets down off his blanket.,hangs up the phone and hurriedly walks into the living room.,looks out of someone's window.,0
40339,anetv_mua8hNPuQHw,6003,"After, the man practice fencing with another person. A little kid wearing fencing","After, the man practice fencing with another person.",A little kid wearing fencing,gold,stands behind the man.,show is surrounded by a crowd.,stands outside in flames.,moves with another boy hanging on the rope.,0
47889,lsmdc3013_BURLESQUE-4520,6640,One - by - one the dancers face the audience. The mesmerized blonde watches as varying dancers,One - by - one the dancers face the audience.,The mesmerized blonde watches as varying dancers,gold,plump as students plunge up to find him chatting sex in a cramped space.,hold their seats above their heads.,raise their instrument away to dance.,respond to their names.,3
17770,lsmdc3050_MR_POPPERS_PENGUINS-24004,16279,As the penguins move closer. Someone,As the penguins move closer.,Someone,gold,follows and sees someone someone walking like a penguin.,leave the studio to run up a deck to the back door until someone awakes.,turns to look at the dog who sits squarely in the chair.,slips her blouse off and slides over with a pair of blue heels.,0
53206,anetv_j4-w606GnYw,7772,A large group of people are seen standing in a dance studio and lead into performing a dance routine together with a man leading in front. The group,A large group of people are seen standing in a dance studio and lead into performing a dance routine together with a man leading in front.,The group,gen,continues dancing while moving with one another and end by talking to the camera.,"continues dancing around each other, riding away and ends with them smiling in the end.",continues dancing all around the area and ends by walking away.,begin performing a tango routine while dancing around.,3
9095,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-61355,16996,"At that moment: people burst into the hallows, astride shadowfax. With a roar, someone","At that moment: people burst into the hallows, astride shadowfax.","With a roar, someone",gold,returns to his table for the dream - passes him gently past someone's ice bowl.,attaches the horse to the horse twins.,"shoots up a snowy passageway leading onto a larger stairwell, with one hand holding holes murdered with the broom.",snatches a flaming torch.,3
25020,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-94969,14279,Someone is a plucky small boy. He,Someone is a plucky small boy.,He,gold,faces someone and prepares himself.,"stares at the locket, which bursts through the branches.",follows the concentration wringing.,shakes off his head horn.,0
8861,lsmdc3050_MR_POPPERS_PENGUINS-24238,17662,"He finds someone standing in his open doorway. Drawing closer, he",He finds someone standing in his open doorway.,"Drawing closer, he",gold,watches the gum drop across her wand.,finds himself dreaming inside.,sees someone inside feeding the penguins.,finds someone spreading her nose after him.,2
72479,lsmdc1026_Legion-5789,7223,Someone drops his gun and feels his bloody chest. Someone,Someone drops his gun and feels his bloody chest.,Someone,gen,"reaches up, hide his knife.","cleans his jaw, sweating by the ground below his lips, mouth agape.",points the wand at his right hand.,faces the doors closed.,1
53619,anetv_sWQ65uwxXbA,4744,A weight lifter is inside a gym. He,A weight lifter is inside a gym.,He,gold,starts playing the guitar.,is doing a gymnastics routine on the mat.,goes for a strike.,does a squat while holding a barbell.,3
16541,anetv_v5patZyuYys,15205,Players and coaches are seen wandering around a field speaking to one another. More players,Players and coaches are seen wandering around a field speaking to one another.,More players,gold,are seen running around the teams as well as enjoying the pool mates.,are seen playing lacrosse and playing a game with one another.,are shown walking around followed by one hitting a ball and others celebrating.,are shown throwing a ball across the walls.,2
43224,anetv_yAkVtmP7654,16483,One boy stops and moves snow off a car and walks through the deep snow around the car as the man and other boy keep walking. The cameraman,One boy stops and moves snow off a car and walks through the deep snow around the car as the man and other boy keep walking.,The cameraman,gen,continues to show the various scenery and the lady presents some machinery and a brake.,uses a control seat to get their legs out and take pictures of two bikers.,pulls a young boy into the living room and shows us riders ride through to the park.,rides around in front of a bull of the children as they struggle.,0
20560,lsmdc0043_Thelma_and_Luise-68184,3336,"Someone looks over at the bar where someone is grinning at her, making dancing motions. She","Someone looks over at the bar where someone is grinning at her, making dancing motions.",She,gen,"nods inside looking around the store, toting the cup, including a little dog.","pulls up, ends and hides in the corner.",follows someone into his trailer.,looks up and smiles at him.,3
72830,lsmdc3081_THOR-38000,11205,"Sitting atop it's back, someone grins then frowns as the Destroyer's hollow head glows once again. It","Sitting atop it's back, someone grins then frowns as the Destroyer's hollow head glows once again.",It,gold,mounts the sky outside where several other meerkats join the explosion and flies around.,stare at the city all their way through the narrow stream.,'s rib segments twist and rotate until someone finds herself standing on the destroyer's chest.,"sits beside a black horse, fitted and shredded electrocutes.",2
29364,lsmdc3037_IRON_MAN2-16632,7414,"Outside, the party - goers watch through a huge wall of glass surrounding the room. Someone","Outside, the party - goers watch through a huge wall of glass surrounding the room.",Someone,gold,"easily unroll the bomb, opening it in all shapes and poses.","alcove close one of the trio, through another curtain by one corner.",swats him toward the parking and disappears under the door.,throws someone to the floor.,3
49933,lsmdc3072_THE_GIRL_WITH_THE_DRAGON_TATTOO-33658,16368,"Someone topples falling face first on the floor. At the cottage, someone",Someone topples falling face first on the floor.,"At the cottage, someone",gen,lashes the gangster's seat.,"leans back against the trap door, eyes open.",holds onto to the deck and reaches for the surf.,reapers in agony as the people in their windows pierce a tiny suv.,1
